video_id,video_comment,video_comment_transformer
Ny9knUMdznk,560,0
O-pgfAE5tWc,3174,0
O2P9eVV3sws,59,5
O3CMKm706Kk,38,0
O3d5JQzWnq4,437,0
O6J53DIXjIQ,196,0
OAkbor3fB7o,114,0
OG3YQ-UL1W4,3628,164
OGG5Q2Vj4Ms,2913,0
OHcVG8RrIM8,2671,0
OJ8iIxSxvAk,401,7
ONnkfzFeMjE,93,0
OQpYuewP_B0,484,0
ORifjxPzkig,100,0
OX5B-kHZGgk,7815,70
OXChhdh5W_o,89,0
OXJhvhNNHWA,7612,0
OYKDQS91iJc,401,0
OZlaaNrFW6Q,115,0
OawxDyV_Iwc,93,0
Oe8ASh0d9a4,321,0
OeaDxPqaKnQ,2803,0
OhYHCiDr_s0,571,3
OjZsDfIMLm4,5261,1
OkW4hkyDd1A,1408,0
Oo72JacVFbE,1645,3
OrjxKOilrAM,339,0
OrlNEKHo2gY,516,0
OsEZAK0OQVE,514,0
Ot6j_qqYQaM,7450,0
OtgZ79U3tx4,224,0
OtuyLWn5gCI,2952,375
OvTRKe27TAc,10,0
Ow42x0Zr6kM,7707,0
OwsIaQbxDrk,11,0
P6ONMS24-aQ,573,0
P7-LX6-e9mw,76,0
P7rCuFx5XF0,1660,0
PAOlUe0Z7bg,3714,0
PGPxuXKCli0,35,0
PGwEaFMW62U,103,0
PHuv2KpHwjA,2191,0
PIBWtRvZY2k,377,0
PJ7NwVvsZvo,593,0
PL6pexxN-8A,65,0
PLUhJmqHd1s,30237,1239
PNa9we5QKAw,469,0
PPU_r3bz-V0,11148,0
PQ0sfqww3z8,185,0
PQXlyKXn8DM,5202,0
PWqdqmSrONM,309,0
P_J9JHWC04E,10,0
P_aKx0CzxUw,6,0
Pb0ec-ZOALs,457,0
Pb8qmpcOByc,5619,0
PdFsqPaHuHs,212,0
PgjohadyMGI,318,0
Pl7FpLlWfX4,6907,0
Po8-0DishiM,146,0
PpKzgZdd7co,2153,0
Pqh3L-Ytnhk,307,19
PqvcQ3MAnJA,92,0
PuBbco_SOKQ,1344,0
Pw0Y7SiRgms,277,0
Q2CVFDMAo1k,145,0
Q56PMJbCFXQ,13543,1426
Q7Ov245rw6w,315,0
Q907CxJuqd0,62,0
QAwmfO2VRXE,1107,0
QG1i1OoEUiA,3737,1
QLI0XOFpK0A,7880,0
QNzGYBvQDAE,45,0
QQrCTSqj1hU,709,0
QT8o7oPdmwA,4,0
QTeTrt8DRRs,2556,0
QUGQNS2vT8E,12787,188
QY6jj6-gcM4,101,0
QaX3HhztI20,136,1
QawCpGpsL0Q,86,0
Qb8PsrzH6ZE,1220,0
Qf8ntUiqI_c,1599,0
QfVIHNwC83I,53,0
QkXGlhbgOOI,140,0
QlYrbEg3dys,181,0
QnmISKNI73A,1083,0
QtwwiGfDCpA,164,0
QuU1VW33ei8,51,3
QuVLldD4JHw,115,0
QwCwBJCysD4,791,0
QzMeLM3CYD8,1125,1
R0Vf0hTZraI,87,0
R1g1ia3MP8k,1720,0
RBHEbYc-DNU,1348,0
RBaM3O9U4_8,1036,1
RBwzPzJNmUo,4734,1
RCf0b8ar2AM,1690,0
RE0t0F9vsfM,281,0
RLQuxi6oTOE,2275,0
RMepSAiHnPU,115,1
ROvIIM4Jrw0,2419,0
RZM8QVbxlbU,1845,0
RZsYOEcTUt4,30896,0
R_L24LH31So,327,0
R_M8qbZOtfY,1248,0
RbsXn0_Rbz8,401,0
RcIRFRP2N9U,16342,2
Rg0vdau4unM,797,0
RkcG_k0GZ1s,2,0
RlJanyHixGU,4768,0
Ru9YbDGan1Q,128,0
Rvv8gG0LfbA,656,0
RwM_CQ-76m8,2929,0
RwzFUTeOGQU,902,1
S1aFzm-Ivqc,197,0
S2LKKnf4riw,1143,89
S59NnFgnQRc,4725,0
S6xxmLjD6oM,1326,1
S7TUe5w6RHo,23484,1844
SA7qI2uf1g4,508,0
SBkOvpwMpTw,286,0
SFu8U7PPqwg,55,0
SHx3ySVO-2I,3576,0
SJD8asQ2FC4,159,0
SL9zqewyVFM,403,37
SR6TlwTwKxo,566,0
SRXH9AbT280,89451,2080
SS48SMoosnI,158,0
STwgG2si9kQ,6733,143
SVepW3f_V-M,2142,0
SWYCrv4k34A,59,0
SW_6o676N5k,114,0
SXNTdJaEW3Y,149,0
Sb2_zbDa4fY,138,0
SeXf8x4kzMQ,15288,330
Sf9p46vmx6U,802,15
SgY0BIN5knI,285,0
SlfQQOrXKq0,1089,0
